,gvkey,iid,gvkeyx,from,thru,conml,from_yearquarter,thru_yearquarter,2008-Quarter1,2008-Quarter2,2008-Quarter3,2008-Quarter4,2009-Quarter1,2009-Quarter2,2009-Quarter3,2009-Quarter4,2010-Quarter1,2010-Quarter2,2010-Quarter3,2010-Quarter4,2011-Quarter1,2011-Quarter2,2011-Quarter3,2011-Quarter4,2012-Quarter1,2012-Quarter2,2012-Quarter3,2012-Quarter4,2013-Quarter1,2013-Quarter2,2013-Quarter3,2013-Quarter4,2014-Quarter1,2014-Quarter2,2014-Quarter3,2014-Quarter4,2015-Quarter1,2015-Quarter2,2015-Quarter3,2015-Quarter4,2016-Quarter1,2016-Quarter2,2016-Quarter3,2016-Quarter4,2017-Quarter1,2017-Quarter2,2017-Quarter3,2017-Quarter4,2018-Quarter1,2018-Quarter2,2018-Quarter3,2018-Quarter4,2019-Quarter1,2019-Quarter2,2019-Quarter3
435,14623,1,3,2000-06-19 00:00:00.000000,2012-06-04 00:00:00.000000,Novellus Systems Inc.,2000-Quarter3,2012-Quarter2,Novellus Systems Inc.,Novellus Systems Inc.,Novellus Systems Inc.,Novellus Systems Inc.,Novellus Systems Inc.,Novellus Systems Inc.,Novellus Systems Inc.,Novellus Systems Inc.,Novellus Systems Inc.,Novellus Systems Inc.,Novellus Systems Inc.,Novellus Systems Inc.,Novellus Systems Inc.,Novellus Systems Inc.,Novellus Systems Inc.,Novellus Systems Inc.,Novellus Systems Inc.,Novellus Systems Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,14624,1,3,1999-06-24 00:00:00.000000,2010-12-19 00:00:00.000000,Office Depot Inc,1999-Quarter3,2010-Quarter4,Office Depot Inc,Office Depot Inc,Office Depot Inc,Office Depot Inc,Office Depot Inc,Office Depot Inc,Office Depot Inc,Office Depot Inc,Office Depot Inc,Office Depot Inc,Office Depot Inc,Office Depot Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,14824,1,3,1997-12-18 00:00:00.000000,,Cincinnati Financial Corp,1998-Quarter1,2019-Quarter3,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp,Cincinnati Financial Corp
438,14934,1,3,2000-08-30 00:00:00.000000,,Devon Energy Corp,2000-Quarter4,2019-Quarter3,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp,Devon Energy Corp
439,14960,1,3,2004-11-01 00:00:00.000000,,Laboratory Corp of America Holdings,2005-Quarter1,2019-Quarter3,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings,Laboratory Corp of America Holdings
440,15208,1,3,1992-01-02 00:00:00.000000,2008-09-10 00:00:00.000000,Freddie Mac,1992-Quarter2,2008-Quarter3,Freddie Mac,Freddie Mac,Freddie Mac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,15247,1,3,2004-04-29 00:00:00.000000,,Valero Energy Corp,2004-Quarter3,2019-Quarter3,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp,Valero Energy Corp
442,15267,1,3,2019-08-09 00:00:00.000000,,IDEX Corp,2019-Quarter4,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,15520,1,3,2015-07-29 00:00:00.000000,2018-03-18 00:00:00.000000,Signet Jewelers Ltd,2015-Quarter4,2018-Quarter1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Signet Jewelers Ltd,Signet Jewelers Ltd,Signet Jewelers Ltd,Signet Jewelers Ltd,Signet Jewelers Ltd,Signet Jewelers Ltd,Signet Jewelers Ltd,Signet Jewelers Ltd,Signet Jewelers Ltd,Signet Jewelers Ltd,0,0,0,0,0,0
444,15521,1,3,1998-10-07 00:00:00.000000,2017-09-17 00:00:00.000000,Staples Inc.,1999-Quarter1,2017-Quarter3,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,Staples Inc.,0,0,0,0,0,0,0,0
445,15855,1,3,2003-03-31 00:00:00.000000,,Symantec Corp,2003-Quarter2,2019-Quarter3,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp,Symantec Corp
446,16101,1,3,2013-01-02 00:00:00.000000,,AbbVie Inc,2013-Quarter2,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc,AbbVie Inc
447,16243,1,3,1997-07-02 00:00:00.000000,2008-09-29 00:00:00.000000,Washington Mutual Inc,1997-Quarter4,2008-Quarter3,Washington Mutual Inc,Washington Mutual Inc,Washington Mutual Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448,16245,1,3,2008-11-13 00:00:00.000000,,People's United Financial Inc,2009-Quarter1,2019-Quarter3,0,0,0,0,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc,People's United Financial Inc
449,15708,1,3,1992-02-07 00:00:00.000000,2015-03-22 00:00:00.000000,Allergan Inc.,1992-Quarter2,2015-Quarter1,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,Allergan Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,15709,1,3,2002-01-17 00:00:00.000000,2016-02-21 00:00:00.000000,Plum Creek Timber Co Inc.,2002-Quarter2,2016-Quarter1,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,Plum Creek Timber Co Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,16478,1,3,2000-11-02 00:00:00.000000,,EOG Resources Inc.,2001-Quarter1,2019-Quarter3,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.,EOG Resources Inc.
452,16721,1,3,2002-07-22 00:00:00.000000,,Electronic Arts Inc.,2002-Quarter4,2019-Quarter3,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Arts Inc.
453,16784,1,3,2006-06-06 00:00:00.000000,2008-03-30 00:00:00.000000,Commerce Bancorp Inc.,2006-Quarter3,2008-Quarter1,Commerce Bancorp Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,18872,1,3,2018-06-07 00:00:00.000000,,Twitter Inc,2018-Quarter3,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Twitter Inc,Twitter Inc,Twitter Inc,Twitter Inc,Twitter Inc
455,17120,1,3,2018-03-19 00:00:00.000000,,SVB Financial Group,2018-Quarter2,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SVB Financial Group,SVB Financial Group,SVB Financial Group,SVB Financial Group,SVB Financial Group,SVB Financial Group
456,17130,1,3,2004-07-01 00:00:00.000000,2009-01-29 00:00:00.000000,Santander Holdings USA Inc,2004-Quarter4,2009-Quarter1,Santander Holdings USA Inc,Santander Holdings USA Inc,Santander Holdings USA Inc,Santander Holdings USA Inc,Santander Holdings USA Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,17874,1,3,2019-07-15 00:00:00.000000,,T-Mobile US Inc,2019-Quarter4,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,17928,1,3,2017-08-29 00:00:00.000000,,Iqvia Holdings Inc,2017-Quarter4,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iqvia Holdings Inc,Iqvia Holdings Inc,Iqvia Holdings Inc,Iqvia Holdings Inc,Iqvia Holdings Inc,Iqvia Holdings Inc,Iqvia Holdings Inc,Iqvia Holdings Inc
459,18043,1,3,2013-07-01 00:00:00.000000,,News Corp,2013-Quarter4,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp
460,18043,2,3,2015-09-21 00:00:00.000000,,News Corp,2015-Quarter4,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp,News Corp
461,18086,1,3,2014-08-19 00:00:00.000000,2017-07-25 00:00:00.000000,Mallinckrodt Plc,2014-Quarter4,2017-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mallinckrodt Plc,Mallinckrodt Plc,Mallinckrodt Plc,Mallinckrodt Plc,Mallinckrodt Plc,Mallinckrodt Plc,Mallinckrodt Plc,Mallinckrodt Plc,Mallinckrodt Plc,Mallinckrodt Plc,Mallinckrodt Plc,Mallinckrodt Plc,0,0,0,0,0,0,0,0
462,20232,1,3,2018-11-06 00:00:00.000000,,Keysight Technologies Inc,2019-Quarter1,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keysight Technologies Inc,Keysight Technologies Inc,Keysight Technologies Inc
463,20423,1,3,1990-02-01 00:00:00.000000,2008-01-28 00:00:00.000000,Caesars Entertainment Corp,1990-Quarter2,2008-Quarter1,Caesars Entertainment Corp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,20548,1,3,2008-06-23 00:00:00.000000,,Cabot Oil & Gas Corp,2008-Quarter3,2019-Quarter3,0,0,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp
465,20653,1,3,2009-04-02 00:00:00.000000,2015-03-22 00:00:00.000000,Denbury Resources Inc.,2009-Quarter3,2015-Quarter1,0,0,0,0,0,0,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,Denbury Resources Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,20904,1,3,2016-03-30 00:00:00.000000,,Hologic Inc,2016-Quarter2,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hologic Inc,Hologic Inc,Hologic Inc,Hologic Inc,Hologic Inc,Hologic Inc,Hologic Inc,Hologic Inc,Hologic Inc,Hologic Inc,Hologic Inc,Hologic Inc,Hologic Inc,Hologic Inc
467,20686,1,3,2015-11-18 00:00:00.000000,,Synchrony Financial,2016-Quarter1,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Synchrony Financial,Synchrony Financial,Synchrony Financial,Synchrony Financial,Synchrony Financial,Synchrony Financial,Synchrony Financial,Synchrony Financial,Synchrony Financial,Synchrony Financial,Synchrony Financial,Synchrony Financial,Synchrony Financial,Synchrony Financial,Synchrony Financial
468,20748,1,3,2018-08-28 00:00:00.000000,,Arista Networks Inc,2018-Quarter4,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arista Networks Inc,Arista Networks Inc,Arista Networks Inc,Arista Networks Inc
469,20779,1,3,1993-12-01 00:00:00.000000,,Cisco Systems Inc,1994-Quarter1,2019-Quarter3,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc,Cisco Systems Inc
470,21825,1,3,2016-02-01 00:00:00.000000,,Citizens Financial Group Inc,2016-Quarter2,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Citizens Financial Group Inc,Citizens Financial Group Inc,Citizens Financial Group Inc,Citizens Financial Group Inc,Citizens Financial Group Inc,Citizens Financial Group Inc,Citizens Financial Group Inc,Citizens Financial Group Inc,Citizens Financial Group Inc,Citizens Financial Group Inc,Citizens Financial Group Inc,Citizens Financial Group Inc,Citizens Financial Group Inc,Citizens Financial Group Inc
471,22140,2,3,1999-08-02 00:00:00.000000,2008-12-04 00:00:00.000000,Allied Waste Industries Inc.,1999-Quarter4,2008-Quarter4,Allied Waste Industries Inc.,Allied Waste Industries Inc.,Allied Waste Industries Inc.,Allied Waste Industries Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,22260,4,3,2015-01-27 00:00:00.000000,,HCA Healthcare Inc,2015-Quarter2,2019-Quarter3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HCA Healthcare Inc,HCA Healthcare Inc,HCA Healthcare Inc,HCA Healthcare Inc,HCA Healthcare Inc,HCA Healthcare Inc,HCA Healthcare Inc,HCA Healthcare Inc,HCA Healthcare Inc,HCA Healthcare Inc,HCA Healthcare Inc,HCA Healthcare Inc,HCA Healthcare Inc,HCA Healthcare Inc,HCA Healthcare Inc,HCA Healthcare Inc,HCA Healthcare Inc,HCA Healthcare Inc
