gvkey,iid,gvkeyx,from,thru
008068,01,000003,1982-12-31 00:00:00.000000,
008099,01,000003,1964-03-31 00:00:00.000000,
008151,01,000003,2010-03-15 00:00:00.000000,
008215,02,000003,2009-01-02 00:00:00.000000,2016-12-01 00:00:00.000000
008245,01,000003,1988-04-30 00:00:00.000000,
008247,01,000003,1964-03-31 00:00:00.000000,
008253,01,000003,1980-12-31 00:00:00.000000,
008264,01,000003,1964-03-31 00:00:00.000000,2019-01-17 00:00:00.000000
008272,01,000003,1964-03-31 00:00:00.000000,
008304,01,000003,1987-12-31 00:00:00.000000,2015-08-30 00:00:00.000000
008358,01,000003,1985-11-30 00:00:00.000000,
008402,01,000003,1998-10-01 00:00:00.000000,
008446,01,000003,1964-03-31 00:00:00.000000,2013-12-01 00:00:00.000000
008455,01,000003,1995-11-27 00:00:00.000000,
008463,01,000003,2012-10-01 00:00:00.000000,
008479,01,000003,1964-03-31 00:00:00.000000,
008488,01,000003,1974-12-31 00:00:00.000000,2008-11-23 00:00:00.000000
008530,01,000003,1964-03-31 00:00:00.000000,
008539,01,000003,1964-03-31 00:00:00.000000,
008543,01,000003,1964-03-31 00:00:00.000000,
008549,01,000003,1964-03-31 00:00:00.000000,
008551,01,000003,2013-02-14 00:00:00.000000,
008606,01,000003,1964-03-31 00:00:00.000000,2017-02-28 00:00:00.000000
008694,01,000003,2007-11-09 00:00:00.000000,2016-03-29 00:00:00.000000
008717,01,000003,2007-06-01 00:00:00.000000,2016-01-31 00:00:00.000000
008762,01,000003,1964-03-31 00:00:00.000000,
008810,01,000003,1964-03-31 00:00:00.000000,
008823,01,000003,1984-04-30 00:00:00.000000,
008873,01,000003,2006-12-01 00:00:00.000000,2010-06-30 00:00:00.000000
008898,01,000003,2017-03-20 00:00:00.000000,
008972,01,000003,1964-03-31 00:00:00.000000,
009063,01,000003,2003-02-24 00:00:00.000000,2017-08-07 00:00:00.000000
009203,01,000003,1964-03-31 00:00:00.000000,
009217,01,000003,1982-09-30 00:00:00.000000,2009-04-01 00:00:00.000000
009225,01,000003,2018-10-01 00:00:00.000000,
009248,01,000003,2009-12-21 00:00:00.000000,
009258,01,000003,1985-01-31 00:00:00.000000,2014-08-18 00:00:00.000000
009299,01,000003,1982-12-31 00:00:00.000000,2017-06-18 00:00:00.000000
006066,01,000003,1964-03-31 00:00:00.000000,
006078,01,000003,1976-03-31 00:00:00.000000,
006136,01,000003,1992-10-01 00:00:00.000000,
009411,01,000003,1981-09-30 00:00:00.000000,2012-06-28 00:00:00.000000
009445,01,000003,2009-01-02 00:00:00.000000,2019-01-01 00:00:00.000000
009459,01,000003,1964-03-31 00:00:00.000000,2009-11-03 00:00:00.000000
009465,01,000003,1965-03-31 00:00:00.000000,
009555,01,000003,1998-04-01 00:00:00.000000,
009667,01,000003,1964-06-30 00:00:00.000000,
009699,01,000003,1994-09-01 00:00:00.000000,2015-11-18 00:00:00.000000
009846,01,000003,1964-03-31 00:00:00.000000,
009351,01,000003,1976-06-30 00:00:00.000000,2008-09-22 00:00:00.000000
009359,01,000003,1998-11-13 00:00:00.000000,2015-01-26 00:00:00.000000
009372,01,000003,1989-11-30 00:00:00.000000,2017-01-04 00:00:00.000000
009771,02,000003,2017-07-26 00:00:00.000000,
009772,01,000003,2006-10-02 00:00:00.000000,2010-08-26 00:00:00.000000
009777,01,000003,2008-11-06 00:00:00.000000,
009778,01,000003,1982-09-30 00:00:00.000000,
009783,01,000003,1994-03-01 00:00:00.000000,
009899,01,000003,1983-11-30 00:00:00.000000,
009904,01,000003,2008-06-06 00:00:00.000000,2017-04-03 00:00:00.000000
009850,01,000003,1964-03-31 00:00:00.000000,
009882,01,000003,1994-07-01 00:00:00.000000,
010016,01,000003,1982-09-30 00:00:00.000000,
010035,01,000003,1997-08-18 00:00:00.000000,
010156,01,000003,1969-03-31 00:00:00.000000,2012-10-04 00:00:00.000000
010187,01,000003,1988-05-31 00:00:00.000000,
010190,01,000003,1985-01-31 00:00:00.000000,2012-04-30 00:00:00.000000
010247,01,000003,1986-12-31 00:00:00.000000,
010096,01,000003,2005-08-19 00:00:00.000000,
010115,01,000003,2000-12-12 00:00:00.000000,
010121,04,000003,1998-07-01 00:00:00.000000,2018-06-04 00:00:00.000000
010405,01,000003,1978-12-31 00:00:00.000000,2015-07-01 00:00:00.000000
010466,01,000003,2007-09-27 00:00:00.000000,2018-09-30 00:00:00.000000
010499,01,000003,1964-03-31 00:00:00.000000,
010519,01,000003,1978-12-31 00:00:00.000000,
010614,01,000003,1989-04-30 00:00:00.000000,2019-08-08 00:00:00.000000
010614,01,000003,2019-08-12 00:00:00.000000,
010787,01,000003,1989-07-31 00:00:00.000000,2009-03-16 00:00:00.000000
010787,01,000003,2010-08-27 00:00:00.000000,2016-09-05 00:00:00.000000
010793,01,000003,2005-08-11 00:00:00.000000,
010795,04,000003,2015-09-03 00:00:00.000000,
010277,01,000003,2001-10-10 00:00:00.000000,2016-06-30 00:00:00.000000
010332,01,000003,1973-03-31 00:00:00.000000,2011-06-30 00:00:00.000000
010407,01,000003,2019-01-18 00:00:00.000000,
010420,01,000003,1995-07-03 00:00:00.000000,2011-12-20 00:00:00.000000
010453,01,000003,1999-11-15 00:00:00.000000,2013-12-22 00:00:00.000000
010530,01,000003,1997-01-02 00:00:00.000000,
010631,01,000003,2008-01-02 00:00:00.000000,
010860,01,000003,1991-09-19 00:00:00.000000,
010867,01,000003,1964-03-31 00:00:00.000000,
010894,01,000003,2016-03-07 00:00:00.000000,
