gvkey,iid,efffrom,effthru,itemvalue,conml
001318,01,2009-01-01 00:00:00.000000,2014-07-23 00:00:00.000000,AT..,ALLTEL Corp
001318,01,2014-07-24 00:00:00.000000,2900-01-01 00:00:00.000000,AT.2,ALLTEL Corp
001327,01,1986-12-14 00:00:00.000000,1998-06-01 00:00:00.000000,AHA,Skyworks Solutions Inc
001327,01,1998-06-02 00:00:00.000000,2002-06-24 00:00:00.000000,AHAA,Skyworks Solutions Inc
001327,01,2002-06-25 00:00:00.000000,2900-01-01 00:00:00.000000,SWKS,Skyworks Solutions Inc
001356,01,1986-12-14 00:00:00.000000,2016-10-31 00:00:00.000000,AA,Alcoa Inc
001356,01,2016-11-01 00:00:00.000000,2900-01-01 00:00:00.000000,AA.3,Alcoa Inc
001359,01,1986-12-14 00:00:00.000000,2007-09-20 00:00:00.000000,AZA,Alza Corp
001359,01,2007-09-21 00:00:00.000000,2011-05-04 00:00:00.000000,AZA.,Alza Corp
001359,01,2011-05-05 00:00:00.000000,2900-01-01 00:00:00.000000,AZA.1,Alza Corp
001362,01,1987-04-30 00:00:00.000000,1991-01-23 00:00:00.000000,AGM,Amalgamated Sugar Co
001362,01,1998-05-01 00:00:00.000000,2900-01-01 00:00:00.000000,AGM.2,Amalgamated Sugar Co
001365,01,1986-12-14 00:00:00.000000,1993-12-22 00:00:00.000000,AMX,Amax Inc
001365,01,1993-12-23 00:00:00.000000,1997-09-25 00:00:00.000000,AMX.,Amax Inc
001365,01,1997-09-26 00:00:00.000000,1998-12-22 00:00:00.000000,AMX.1,Amax Inc
001365,01,1998-12-23 00:00:00.000000,2900-01-01 00:00:00.000000,AMX.2,Amax Inc
001380,01,1986-12-14 00:00:00.000000,2006-05-08 00:00:00.000000,AHC,Hess Corp
001380,01,2006-05-09 00:00:00.000000,2900-01-01 00:00:00.000000,HES,Hess Corp
001387,01,1987-04-30 00:00:00.000000,1989-06-29 00:00:00.000000,AAF,American Air Filter Inc
001387,01,1989-06-30 00:00:00.000000,1991-01-23 00:00:00.000000,AAF.,American Air Filter Inc
001387,01,1998-05-01 00:00:00.000000,2900-01-01 00:00:00.000000,AAF.1,American Air Filter Inc
001392,01,1986-12-14 00:00:00.000000,1998-02-19 00:00:00.000000,AMH,Amdahl Corp
001392,01,1998-02-20 00:00:00.000000,1998-05-07 00:00:00.000000,AMH.,Amdahl Corp
001392,01,1998-05-08 00:00:00.000000,1998-06-24 00:00:00.000000,AMH.1,Amdahl Corp
001392,01,1998-06-25 00:00:00.000000,2002-12-19 00:00:00.000000,AMH.,Amdahl Corp
001392,01,2002-12-20 00:00:00.000000,2900-01-01 00:00:00.000000,AMH.1,Amdahl Corp
001394,01,1986-12-14 00:00:00.000000,1991-01-23 00:00:00.000000,ABA,American Bakeries Co
001394,01,1998-05-01 00:00:00.000000,2007-05-30 00:00:00.000000,ABA.,American Bakeries Co
001394,01,2007-05-31 00:00:00.000000,2900-01-01 00:00:00.000000,ABA.1,American Bakeries Co
001408,01,1986-12-14 00:00:00.000000,1997-06-01 00:00:00.000000,AMB,Beam Inc
001408,01,1997-06-02 00:00:00.000000,2011-10-03 00:00:00.000000,FO,Beam Inc
001408,01,2011-10-04 00:00:00.000000,2900-01-01 00:00:00.000000,BEAM,Beam Inc
001409,01,1987-04-30 00:00:00.000000,1989-05-24 00:00:00.000000,ABC,American Broadcasting
001409,01,1989-05-25 00:00:00.000000,1991-01-23 00:00:00.000000,ABC.,American Broadcasting
001409,01,1998-05-01 00:00:00.000000,2900-01-01 00:00:00.000000,ABC.2,American Broadcasting
001414,01,1986-12-14 00:00:00.000000,1987-05-30 00:00:00.000000,AC,Primerica Inc
001414,01,1987-05-31 00:00:00.000000,1989-02-27 00:00:00.000000,PA,Primerica Inc
001414,01,1989-02-28 00:00:00.000000,1991-01-23 00:00:00.000000,PA.,Primerica Inc
001414,01,1991-01-24 00:00:00.000000,2900-01-01 00:00:00.000000,PA.3,Primerica Inc
001420,01,1988-09-08 00:00:00.000000,1991-01-23 00:00:00.000000,ACN.,American Chain & Cable Inc
001420,01,1998-05-01 00:00:00.000000,2900-01-01 00:00:00.000000,ACN.4,American Chain & Cable Inc
001428,01,1988-09-08 00:00:00.000000,1990-08-23 00:00:00.000000,ACR.,American Credit
001428,01,1998-05-01 00:00:00.000000,2900-01-01 00:00:00.000000,ACR.3,American Credit
001429,01,1986-12-14 00:00:00.000000,2900-01-01 00:00:00.000000,2388B,American Crystal Sugar Co
001430,01,1986-12-14 00:00:00.000000,1998-03-25 00:00:00.000000,ACY,American Cyanamid Co
001430,01,1998-03-26 00:00:00.000000,1998-05-07 00:00:00.000000,ACY.,American Cyanamid Co
001430,01,1998-05-08 00:00:00.000000,1998-06-24 00:00:00.000000,ACY.1,American Cyanamid Co
001430,01,1998-06-25 00:00:00.000000,1999-12-21 00:00:00.000000,ACY.,American Cyanamid Co
001430,01,1999-12-22 00:00:00.000000,2900-01-01 00:00:00.000000,ACY.1,American Cyanamid Co
001440,01,1986-12-14 00:00:00.000000,2900-01-01 00:00:00.000000,AEP,American Electric Power Co Inc
001447,01,1986-12-14 00:00:00.000000,2900-01-01 00:00:00.000000,AXP,American Express Co
001449,01,1986-12-14 00:00:00.000000,2900-01-01 00:00:00.000000,AFL,AFLAC Inc
001465,01,1986-12-14 00:00:00.000000,2005-12-22 00:00:00.000000,AGC,American General Corp
001465,01,2005-12-23 00:00:00.000000,2007-06-21 00:00:00.000000,AGC.,American General Corp
001465,01,2007-06-22 00:00:00.000000,2900-01-01 00:00:00.000000,AGC.1,American General Corp
001468,01,1986-12-14 00:00:00.000000,1998-02-10 00:00:00.000000,AGREA,American Greetings Corp.
001468,01,1998-02-11 00:00:00.000000,2001-01-03 00:00:00.000000,AM,American Greetings Corp.
001468,01,2001-01-04 00:00:00.000000,2001-01-11 00:00:00.000000,AM.A,American Greetings Corp.
